A	a
obsequens	compliant.
obsequium	indulgence, pliancy, submission. obedience, indulgence.
obses	(obsidis) hostage, security, pledge, surety. surety, hostage.
obsideo	to sit near /haunt, frequent /besiege, invest.
obsido	blockage, besiege, invest.
obstaculum	obstacle.
obstinatus	firm, resolved, staunch. resolute.
obsto	to oppose, defend, stand against.
obsum	to hinder.
obtempero	to obey.
obtero	to bruise.
obtestor	to assert. to implore, entreat, beg, call as a witness.
obtineo	to gain. to hold, keep, possess, maintain /to continue.
obtundere	tease
obtundit	teases
obtutus	gaze.
obviam	(adverb) in the way, on the way, toward. on the way, in the way /(+ dat.) towards, against.
obvio	to encounter, meet.
obvius	on the way, in the way / (in dat.) open, accessible.
obvolvo	to muffle up. to wrap up, cover,.
occasio	favorable moment, opportunity. opportunity.
occasus	setting (of the sun, etc)/ the west /fall, destruction. sunset, west.
occatio	harrowing.
occidio	slaughter, massacre.
occido	to kill.
occisor	murderer.
occludo	to close, shut up, close off.
occulco	to trample (down).
occulte	secretly, in secret, by stealth.
occulto	to hide, conceal, cover.
occultus	hidden, concealed /secretly.
occumbo	to fall, topple, drop /fall dead. to fall.
occupo	to occupy, seize, appropriate, confiscate, commandeer. to take possession, grasp, seize, enjoy, get a start on.
occuro	to occur, come about, happen.
occurro	to go to meet, rush upon. to occur / run to meet, attack /oppose, work against.
occursus	a meeting.
ocius	quick. fleet, sooner, faster.
oculus	eye.
odio	to hate, despite, hold in contempt, dislike strongly.
odium	abhorrence hatred.
odorifera	fragrant.
odorus	keen scenter, sharp nosed.
oestrus	horse-fly, frenzy.
offa	lump, swelling /pellet, shot /mass of something.
offendo	stumble, lurch. to displease. to knock, hit, strike /shock, offend, displease.
offensio	cause of offense. striking, knocking, hitting against, blow.
offensus	collision, shock /dislike, displeasure. offense.
offero	to bring forward, place before, present, offer, expose.
officina	workshop, factor.
officiose	courteously, dutifully, solemnly, ceremoniously.
officiosus	respectful, attentive.
officium	duty, service, job, post, position, responsibility. office, obligation, duty.
olim	at that time, formerly, once, for a long time now. once, at a future time.
omitto	to let slip, lose, pardon. to omit, leave out /let go.
omnifariam	in every way.
omnigenus	of all kinds.
omnimodus	universal.
omnino	altogether, entirely, wholly, certainly, completely.
omnipotens	all-powerful, almighty, omnipotent.
omnis	all, every.
oneratus	loaded.
onero	to load, burden, oppress, fil up.
onus	load, burden, weight, trouble / charge, public road tax.
onustus	burdened, laden.
opera	work, pains, labor.
operatio	work.
operor	to be active, do. to work, labor, toil, take pains.
opes	(pl.) means, wealth, abundance, riches, resources.
opimus	splendid.
opinio	opinion, report, rumor, conjecture, report. rumor.
opinor	-atus, 1, dep. v, to be of the opinion of.
opisthotonos	A disease where the body is curved backward.
oporotheca	place for keeping fruit.
oportet	imper v., to assume it shall be, reasonable, necessary. it is fitting, it is proper, reasonable, becoming. it is needful, it behooves. it is proper, one should, one ought.
oportunitas	convenience, fitness, advantage, opportunity.
oppida	towns
oppidum	(fortified) town. town
opportune	(adv) opportunely, conveniently. fitly. opportunely
opportunitas	fitness, suitability, convenience, advantage.
opportunus	fit, suitable/ (time) favorable /(+dat.) liable to. meet. opportune opportune, fit, convenient, suitable.
opprimo	to subdue, overpower, press against, take by surprise.
opprobrium	reproach, disgrace.
oppugno	to fight against, attack, assault, assail. to war with, storm.
ops	assistance, treasure, wealth, fortune. singular: power, power to aid, power to help.
optatus	longed-for.
optimates	magnates, great lords, the best people, the upper class. the aristocratic party.
optime	as best one can.
optimus	one of the best, aristocrat, noble.
opto	to desire, wish for, want. to wish for.
opulens	rich, wealthy / powerful, mighty / splendid, sumptuous.
opulentia	riches, wealth / power, might / opulence, splendor. wealth.
opulentus	wealthy, splendid.
opus	deed, labor.
opusculus	a little or small work, a small book.
ora	edge, rim, border, boundary / coast, coast-line. region, clime, district, country / residents of a district. sea-coast.
oraculum	a solemn statement, oracle, prophecy, words of a god.
orare	pray
oratio	prayer. speech, address, oration.
orator	orator, speaker. spokesman, envoy, ambassador.
oratorie	oratorically.
oratorius	oratorical / oratory.
oratu	(abl.sing.m.) by request.
orbis	circle, orb, ring, disk, orbit, coil/ round / rotation. world, circle.
orbita	a wheel rut.
orbitas	bereavement, loss of children, loss of parents.
orbus	deprived of children or parents, orphan / deprived, destitute. destitute.
orca	a pot or jar.
orchestra	theater space reserved for the Senate / senators.
orcus	the Lower World, whale.
ordinarius	according to order, regular, ordinary.
ordinatim	regularly, ordinarily.
ordinatio	rule, government, order, arrangment, regulation.
ordinatus	arranged, orderly.
ordino	(-are) to set in order, regulate, arrange, appoint, govern.
ordo	rank, class, order.
orexis	appetite, desire.
organum	instrument, musical instrument.
orgia	a festival of mysteries, orgy.
orichalcum	copper ore / brass.
oriens	rising, the rising sun / east / morning.
orior	rise, become visible, appear. to be born / to be a consequence or result of something.
oriundus	arising from, springing from, coming from. born.
ornamentum	accoutrement. equipment, kit, trappings / furniture / decorations. weapons / honor, distinction.
ornata	adorned.
ornate	splendidly, ornately, elegantly.
ornatus	dress, attire, equipment, ornament, embellishment. to adornment.
orno	to equip, furnish, supply / decorate, adorn.
ornus	mountain ash.
oro	to speak, argue, plead, orate, beg, entreat.
orsus	a beginning, undertaking, initiative.
ortus	-us, m, birth, origin, rising / origin, source.
oryza	rice.
os	mouth
ostendo	-ere-di sum, to show, to exhibit. to show, reveal, present, make plain, declare.
ostium	entrance, door.
otium	free time, leisure, ease, peace, repose.
ovanter	exultingly.
pacifice	peaceably.
pacifico	to pacify, make peace, reconcile.
pacificus	peace-making.
paciscor	to barter . to make a bargain or agreement, covenant, deal. to make an agreement, covenant, pact.
pactum	agreement, contract, covenant, pact. treaty, pact, contract.
pactus	agreed-upon, stipulated, betrothed.
paecipio	to warn, admonish /teach, instruct.
paeniteo	to rue, cause to grieve, be repentant, repent.
paganus	countryman, peasant, pagan.
pagatim	in vilages, in a village manner, in a rusticway.
pagenses	inhabitants of a district, country-folk, peasants.
pagus	district, countryside, rural portions of a civitas.
pala	spade, peel for putting bread in the oven.
palaestra	training, wrestling-place.
palam	openly, publicly, (+abl.) in the presence of.
palea	chaff.
palestra	gymnasium, wrestling school.
palificare	make evident.
paliurus	a plant, Christ's thorn.
pallens	pale, wan, pale yellow, pale green /weak, drooping.
palleo	be pale, be yellow.
pallesco	(+ acc.) grow pale at.
palliata	cloaked.
pallidus	pale, wan; causing paleness.
pallium	covering, monk's garb, nun's veil, mantle. coverlet, mantle, cloak. stole, any drapery.
pallor	paleness, fading.
palma	glory, prize, award for victory, salvation. palm.
palmarium	excellent, splendid, outstanding.
palmula	blade of an oar.
palor	(dep.) to wander, stray, err.
palpito	throb, tremble, shake.
palpo	carress, stroke /coax, cajole, flatter. to feel one's way.
paludosus	swampy, marshy, boggy.
palus	pale, stake /swamp, bog, marsh. quagmire stay.
paluster	marshy, swampy, boggy.
pando	to make known, publicize, make patent. to stretch out, spread out, extend.
pandus	curved, crooked, arched, bowed.
pango	to fix, hammer in, drive in, fasten. to pledge, agree upon.
panis	(-is) bread.
pannosa	tattered.
pannus	rag, patch, piece of cloth. swaddling clothes.
panthera	leopard, panther.
panton	everything.
papas	tutor.
papaver	poppy.
papilla	teat, breast, nipple.
pappo	-are; to eat.
papula	a pimple.
par	equal, like.
paratus	preparation, fitting out, equipment. prepared, ready, equipped; (of persons) skilled. ready
parce	moderately, economically.
parcius	scarcely.
parco	(+inf.: to forebear to), avoid, spare, keep oneself from. (with dative) to spare, refrain from injuring. to spare, refrain from.
parcus	sparing, thrifty, economical, moderate.
pardus	panther, leopard.
parentela	kin.
parentes	relatives, parents.
pareo	(+ dat.) to be obedient to, obey. to submit.
parilis	similar, like, equal.
parilitas	equality, level to make fit.
pario	to bear, bring forth, produce/ create, make, get. to spawn.
pariter	alike, at the same time, together. likewise, equally, in like manner, as well.
paro	to prepare, get ready/ set, put/ furnish, supply/ buy.
pars	side, region.
particeps	partaker, partner, sharer, comrade.
partim	partly /some.
parum	too little, too few, not enough.
parumper	for a moment. for a short time, for a little while, for a bit.
parvulus	child, infant, young, little /very small, tiny.
pasco	to graze, forage, browse.
passer	sparrow.
passim	adv. far and wide, everywhere. scattered about /indiscriminately.
pastor	shepherd.
pastus	pasture.
patefacio	to disclose, expose, open, make open.
patella	dish, platter, plate.
pateo	to be open, be exposed. to be revealed, to stand open, to be clear, plain.
paterna	of a father, paternal, native.
paternus	of a father, paternal, native.
patesco	to be laid open, bare, exposed, to be revealed.
patibilis	endurable, bearable, sufferable.
patiens	long-suffering. patient /(+ gen.) capable of enduring.
patienter	patiently.
patientia	forbearance. patience, suffering, endurance.
patina	a dish.
patior	abide to suffer, be afflicted with. to suffer, endure, permit.
patria	fatherland, one's native country, homeland. fatherland. motherland
patricius	a nobleman.
patrius	handed down from one's forefathers.
patrizo	to take after one's father.
patro	to effect, perform.
patrocinium	patronage.
patrocinor	to protect, defend, support, patronize.
patronus	patron, protector.
patruus	paternal uncle.
patulum	a space, court.
pauci	few, a few, some.
paulatim	gradually, litle by little.
paulisper	for a little while, for a short time.
paululum	very small, very little.
pauper	beggar, person without means. poor, with few means, poverty-stricken.
paupertas	beggardry, poverty, humble circumstances.
paveo	to dread.
pavidus	dreadful as in producing fear, quaking as in feeling fear.
pavio	to tread down upon.
pavor	quaking, dread.
pax	harmony in musical context.
peccamen	sin, fault, error.
peccatus	sin.
pecco	to do wrong, err, sin, go astray.
pecto	to comb, card, thrash (to card wool).
peculium	a bit of money, a small property.
pecunia	money.
pecuniosus	rich, wealthy \profitable, lucrative.
pecus	a single head of cattle, especially a sheep/ a herd.
pedes	going on foot, walking /foot-soldier, infantryman.
pedis	foot-soldier.
peior	worse (see malus).
pelagus	main, open sea.
pellax	seductive.
pellis	pelt .
peloris	a clam.
pelvis	font.
pendeo	to hang, depend, be suspended /be uncertain, undecided.
pendere	weigh
pendit	weighs
pendo	to weigh, value, consider, judge, esteem.
penetrabilis	capable of being penetrated / penetrating, piercing.
penetralis	(noun) interior, inner rooms. passing through, penetrating / internal, inner /.
penetranter	deeply, penetratingly, searchingly.
penetro	to go against, attack, enter, penetrate . to put into, pass through, penetrate.
penicullus	a painter's brush, pencil, stylus.
peniculus	a sponge, brush.
penintentiarius	confessor, penintentiary.
penis	tail.
penitens	(penitentis) a penitent.
penitentia	penance.
penitio	to do penance.
penitus	(adv.) inside, widely, through and through, completely. (adverb) accurately, thoroughly, wholly, entirely. inward, inner, internal, interior.
penna	feather, wing. feather.
pennae	wing.
pennatus	winged, with feathers.
penniger	winged, with feathers.
pennipes	wing-footed, swift, fleet.
pennipotens	capable of flight.
pennipotenti	birds.
pensare	weigh
pensator	distributor.
pensilis	hanging.
pensio	a weighing out / paying, payment, rent / day of payment.
pensitare	weigh
pensito	to ponder, consider, think over. to weigh carefully, weigh out / pay.
penso	to weigh out / estimate, ponder, consider / pay, purchase.
pensus	paid out, valued.
penuriosus	penurious, poor, poverty-stricken.
peplum	robe of state.
per	(+ acc.) (cause) because of, on account of. (+ acc.) (means/instrument) through, with, by, by means of. (+ acc.) (of space) through, along, over / in the presence of. (+ acc.) (of time) throughout, during, in the course of. (prefix to an adjective) very, excessively, quite.
pera	wallet, purse, bag.
peractio	completion, finishing, end.
peracto	to carry through, complete, accomplish.
peraeque	quite equally.
peragito	(-are) to harass, push around.
perago	(-ere) to harass, disturb / mention / complete, accomplish. (legal) to prosecute to the end. to to go through with, accomplish, finish.
peragro	to search through, traverse. to wander through, travel through.
percello	to smite, strike with consternation, excite.
perculsus	a shock.
percunctor	to interrogate.
percuto	to affect deeply.
perdignus	very worthy.
perditio	loss, destruction. ruin.
perdo	to destroy, ruin, waste, scatter, squander. to lose, destroy. to ruin, lose.
perduco	to guide. to lead through, conduct, carry through.
peregrinus	wanderer, foreigner, stranger / pilgrim, crusader.
perennis	everlasting, uninterrupted.
pereo	to pass away, be destroyed, perish.
pererro	to ramble over.
perfectus	complete, finished, done /perfect, without flaw.
perfero	to bear, suffer, endure.
perficio	to accomplish, perfect, complete, achieve, effect.
perfidia	treachery, faithlessness. treachery.
